Gene	Synonymns	Description
FOPNL	C16orf63|FOR20|PHSECRG2	FGFR1OP N-terminal like
LOC123862	-	interferon induced transmembrane protein pseudogene
DNAAF1	CILD13|LRRC50|ODA7|swt	dynein axonemal assembly factor 1
ACSM2A	A-923A4.1|ACSM2	acyl-CoA synthetase medium chain family member 2A
DCUN1D3	44M2.4|SCCRO3	defective in cullin neddylation 1 domain containing 3
NRN1L	MRCC2446|UNQ2446|cpg15-2	neuritin 1 like
CMTM3	BNAS2|CKLFSF3	CKLF like MARVEL transmembrane domain containing 3
C16orf78	-	chromosome 16 open reading frame 78
SPATA2L	C16orf76|tamo	spermatogenesis associated 2 like
SPATA33	C16orf55	spermatogenesis associated 33
NOXO1	P41NOX|P41NOXA|P41NOXB|P41NOXC|SH3PXD5|SNX28	NADPH oxidase organizer 1
CCDC78	C16orf25|CNM4|JFP10|hsCCDC78	coiled-coil domain containing 78
ANKRD26P1	-	ankyrin repeat domain 26 pseudogene 1
IQCK	-	IQ motif containing K
EEF1A1P38	-	eukaryotic translation elongation factor 1 alpha 1 pseudogene 38
ZG16B	EECP|HRPE773|JCLN2|PAUF|PRO1567	zymogen granule protein 16B
PRSS30P	Disp|TMPRSS8|TMPRSS8P	serine protease 30, pseudogene
PAQR4	-	progestin and adipoQ receptor family member 4
ZC3H18	NHN1	zinc finger CCCH-type containing 18
GPR139	GPRg1|PGR3	G protein-coupled receptor 139
CDYL2	PCCP1	chromodomain Y like 2
ANKS3	-	ankyrin repeat and sterile alpha motif domain containing 3
UBALD1	FAM100A|PP11303	UBA like domain containing 1
SEPT12	SPGF10	septin 12
ZNF720	-	zinc finger protein 720
TMEM219	IGFBP-3R	transmembrane protein 219
EARS2	COXPD12|MSE1|gluRS	glutamyl-tRNA synthetase 2, mitochondrial
SNX20	SLIC1	sorting nexin 20
TMEM170A	TMEM170	transmembrane protein 170A
ATP5PBP7	ATP5F1P7	ATP synthase peripheral stalk-membrane subunit b pseudogene 7
METTL23	C17orf95|MRT44	methyltransferase like 23
HSF5	HSF 5|HSTF 5	heat shock transcription factor 5
OR4D2	BC2009|OR17-24	olfactory receptor family 4 subfamily D member 2
MSI2	MSI2H	musashi RNA binding protein 2
SLC38A10	PP1744	solute carrier family 38 member 10
CANT1	DBQD|DBQD1|EDM7|SCAN-1|SCAN1|SHAPY	calcium activated nucleotidase 1
USH1G	ANKS4A|SANS	USH1 protein network component sans
CD300LB	CD300b|CLM-7|CLM7|CMRF35-A2|IREM-3|IREM3|TREM-5|TREM5	CD300 molecule like family member b
KIF19	KIF19A	kinesin family member 19
ZPBP2	ZPBPL	zona pellucida binding protein 2
CYB5D1	-	cytochrome b5 domain containing 1
OVCA2	-	OVCA2, serine hydrolase domain containing
MYL6P5	-	myosin light chain 6 pseudogene 5
USP43	-	ubiquitin specific peptidase 43
KRBA2	-	KRAB-A domain containing 2
C17orf64	-	chromosome 17 open reading frame 64
SPATA32	AEP2|C17orf46|TEX34|VAD1.2	spermatogenesis associated 32
HEXIM2	L3	HEXIM P-TEFb complex subunit 2
LSM12	PNAS-135	LSM12 homolog
CCDC43	-	coiled-coil domain containing 43
CNTD1	CNTD|COSA1	cyclin N-terminal domain containing 1
TMEM132E	DFNB99	transmembrane protein 132E
WFIKKN2	GASP-1|WFDC20B|WFIKKNRP|hGASP-1	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2
LOC124865	-	MRT4 homolog, ribosome maturation factor pseudogene
FLJ40194	-	uncharacterized FLJ40194
B4GALNT2	B4GALT|GALGT2	beta-1,4-N-acetyl-galactosaminyltransferase 2
SPACA3	ALLP17|CT54|LYC3|LYZC|LYZL3|SLLP1	sperm acrosome associated 3
RSKR	SGK494	ribosomal protein S6 kinase related
SEZ6	BSRPC	seizure related 6 homolog
ANKRD13B	-	ankyrin repeat domain 13B
SLC43A2	LAT4	solute carrier family 43 member 2
CYB5D2	-	cytochrome b5 domain containing 2
C17orf49	BAP18|HEPIS	chromosome 17 open reading frame 49
ZFP3	ZNF752	ZFP3 zinc finger protein
TXNP4	-	thioredoxin pseudogene 4
GGT6	-	gamma-glutamyltransferase 6
SPNS2	-	sphingolipid transporter 2
EFCAB13	C17orf57	EF-hand calcium binding domain 13
MRPL10	L10MT|MRP-L10|MRP-L8|MRPL8|RPML8	mitochondrial ribosomal protein L10
WDR81	CAMRQ2|HYC3|PPP1R166|SORF-2	WD repeat domain 81
RN7SK	7SK	RNA, 7SK small nuclear
TBC1D16	-	TBC1 domain family member 16
AFMID	FKF|KF|KFA	arylformamidase
GJD3	CX31.9|Cx30.2|GJA11|GJC1	gap junction protein delta 3
KRT222	KA21|KRT222P	keratin 222
KRT40	CK-40|K40|KA36	keratin 40
SNHG29	C17orf45|C17orf76-AS1|FAM211A-AS1|LRRC75A-AS1|NCRNA00188|TSAP19	small nucleolar RNA host gene 29
ZSWIM7	SWS1	zinc finger SWIM-type containing 7
RIBIN	-	rRNA promoter binding protein
MIEF2	MID49|SMCR7	mitochondrial elongation factor 2
SLC5A10	SGLT-5|SGLT5	solute carrier family 5 member 10
RPS2P46	RPS2_22_1525	ribosomal protein S2 pseudogene 46
FAM210A	C18orf19|HsT2329	family with sequence similarity 210 member A
KRT18P8	-	keratin 18 pseudogene 8
LOXHD1	DFNB77|LH2D1	lipoxygenase homology domains 1
RPL22P1	RPL22_5_435	ribosomal protein L22 pseudogene 1
INO80C	C18orf37|IES6|hIes6	INO80 complex subunit C
TTC39C	C18orf17|HsT2697	tetratricopeptide repeat domain 39C
DIPK1C	C18orf51|FAM69C	divergent protein kinase domain 1C
CLDND2	-	claudin domain containing 2
ZNF816	ZNF816A	zinc finger protein 816
ZNF543	-	zinc finger protein 543
CEACAM20	UNQ9366	carcinoembryonic antigen related cell adhesion molecule 20
RAVER1	-	ribonucleoprotein, PTB binding 1
OR7D4	OR19-7|OR19-B|OR19B|OR7D4P|hg105	olfactory receptor family 7 subfamily D member 4
OR7G1	OR19-15|OR19-8|OR7G1P	olfactory receptor family 7 subfamily G member 1
OR1M1	OR19-5|OR19-6	olfactory receptor family 1 subfamily M member 1
COX6B2	COXVIB2|CT59	cytochrome c oxidase subunit 6B2
CALR3	CMH19|CRT2|CT93	calreticulin 3
ACER1	ALKCDase1|ASAH3	alkaline ceramidase 1
MICOS13	C19orf70|MIC13|P117|QIL1	mitochondrial contact site and cristae organizing system subunit 13
MBD3L2	-	methyl-CpG binding domain protein 3 like 2
TRAPPC5	TRS31	trafficking protein particle complex 5
PCP2	GPSM4	Purkinje cell protein 2
OSCAR	PIGR3|PIgR-3	osteoclast associated, immunoglobulin-like receptor
ZNF813	-	zinc finger protein 813
EEF1DP1	-	eukaryotic translation elongation factor 1 delta pseudogene 1
TGIF1P1	-	TGFB induced factor homeobox 1 pseudogene 1
ZNF441	-	zinc finger protein 441
ZNF491	-	zinc finger protein 491
ZNF440	-	zinc finger protein 440
SWSAP1	C19orf39|SWS1AP1|ZSWIM7AP1	SWIM-type zinc finger 7 associated protein 1
CCDC159	-	coiled-coil domain containing 159
JOSD2	SBBI54	Josephin domain containing 2
IZUMO2	C19orf41|PLAL6978|PRO21961|SCRL	IZUMO family member 2
CPT1C	CATL1|CPT1-B|CPT1P|CPTI-B|CPTIC|SPG73	carnitine palmitoyltransferase 1C
ALDH16A1	-	aldehyde dehydrogenase 16 family member A1
NTN5	-	netrin 5
PPIAP58	-	peptidylprolyl isomerase A pseudogene 58
NLRP13	CLR19.7|NALP13|NOD14|PAN13	NLR family pyrin domain containing 13
NLRP8	CLR19.2|NALP8|NOD16|PAN4	NLR family pyrin domain containing 8
NLRP5	CLR19.8|MATER|NALP5|PAN11|PYPAF8	NLR family pyrin domain containing 5
ZNF787	TIP20	zinc finger protein 787
ZNF573	-	zinc finger protein 573
RPS4XP21	RPS4P21|RPS4X_10_1649	ribosomal protein S4X pseudogene 21
AKR1B1P7	-	aldo-keto reductase family 1 member B1 pseudogene 7
WDR88	PQWD	WD repeat domain 88
TMIGD2	CD28H|IGPR-1|IGPR1	transmembrane and immunoglobulin domain containing 2
EID2B	EID-2B|EID-3	EP300 interacting inhibitor of differentiation 2B
TNFAIP8L1	TIPE1	TNF alpha induced protein 8 like 1
ZNF57	ZNF424	zinc finger protein 57
IRGQ	FKSG27|IRGQ1	immunity related GTPase Q
ZNF428	C19orf37|Zfp428	zinc finger protein 428
JSRP1	JP-45|JP45	junctional sarcoplasmic reticulum protein 1
MOB3A	MOB-LAK|MOB1C|MOBKL2A|moblak	MOB kinase activator 3A
MFSD12	C19orf28|PP3501	major facilitator superfamily domain containing 12
GIPC3	C19orf64|DFNB15|DFNB72|DFNB95	GIPC PDZ domain containing family member 3
NDUFA11	B14.7|CI-B14.7	NADH:ubiquinone oxidoreductase subunit A11
MISP	C19orf21|MISP1	mitotic spindle positioning
LRRC25	MAPA	leucine rich repeat containing 25
OR1I1	OR19-20|OR1I1P|OR1I1Q	olfactory receptor family 1 subfamily I member 1
WTIP	-	WT1 interacting protein
ZNF792	-	zinc finger protein 792
NR2C2AP	TRA16	nuclear receptor 2C2 associated protein
HSPB6	HEL55|Hsp20|PPP1R91	heat shock protein family B (small) member 6
CCDC105	-	coiled-coil domain containing 105
CYP4F22	ARCI5|INLNE|LI3	cytochrome P450 family 4 subfamily F member 22
RINL	-	Ras and Rab interactor like
FBXO27	FBG5|Fbx27	F-box protein 27
SNX6P1	-	sorting nexin 6 pseudogene 1
PLK5	PLK-5|PLK5P|SgK384ps	polo like kinase 5
C19orf47	-	chromosome 19 open reading frame 47
LINC00661	-	long intergenic non-protein coding RNA 661
OR10H4	OR19-28	olfactory receptor family 10 subfamily H member 4
ANKLE1	ANKRD41|LEM3|LEMD6	ankyrin repeat and LEM domain containing 1
C2CD4C	FAM148C|KIAA1957|NLF3	C2 calcium dependent domain containing 4C
MRPL57P1	MRP63P1	mitochondrial ribosomal protein L57 pseudogene 1
GABPB2	GABPB-2	GA binding protein transcription factor subunit beta 2
TCHHL1	S100A17|THHL1	trichohyalin like 1
RPTN	-	repetin
CCDC163	C1orf231|CCDC163P	coiled-coil domain containing 163
TDRD10	-	tudor domain containing 10
SHE	-	Src homology 2 domain containing E
KDF1	C1orf172|ECTD12	keratinocyte differentiation factor 1
CCSAP	C1orf96|CSAP	centriole, cilia and spindle associated protein
LRRC38	-	leucine rich repeat containing 38
AADACL3	-	arylacetamide deacetylase like 3
PUSL1	-	pseudouridine synthase like 1
B3GALT6	EDSP2|EDSSPD2|SEMDJL1|beta3GalT6	beta-1,3-galactosyltransferase 6
KRT8P21	-	keratin 8 pseudogene 21
WDR63	DIC3|NYD-SP29	WD repeat domain 63
KLHDC9	KARCA1	kelch domain containing 9
TGIF2P1	-	TGFB induced factor homeobox 2 pseudogene 1
AXDND1	C1orf125	axonemal dynein light chain domain containing 1
LOC126860	-	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 pseudogene
MAB21L3	C1orf161	mab-21 like 3
IFFO2	-	intermediate filament family orphan 2
HIST2H3C	H3|H3.2|H3/M|H3F2|H3FM|H3FN	histone cluster 2 H3 family member c
SLC44A3	CTL3	solute carrier family 44 member 3
LOC126987	-	tight junction protein 3 (zona occludens 3) pseudogene
ATXN7L2	-	ataxin 7 like 2
C1orf194	-	chromosome 1 open reading frame 194
LOC127011	-	ATPase H+ transporting accessory protein 2 pseudogene
LYPLAL1	Q96AV0	lysophospholipase like 1
OR2M5	OR2M5P	olfactory receptor family 2 subfamily M member 5
OR2M3	OR1-54|OR2M3P|OR2M6|OST003	olfactory receptor family 2 subfamily M member 3
OR2T12	OR1-57	olfactory receptor family 2 subfamily T member 12
OR14C36	OR5BF1	olfactory receptor family 14 subfamily C member 36
OR2T34	-	olfactory receptor family 2 subfamily T member 34
OR2T10	OR1-64	olfactory receptor family 2 subfamily T member 10
OR2T4	OR1-60|OR2T4Q	olfactory receptor family 2 subfamily T member 4
OR2T11	OR2T11Q	olfactory receptor family 2 subfamily T member 11 (gene/pseudogene)
XRCC6P3	-	X-ray repair cross complementing 6 pseudogene 3
RPLP1P3	RPLP1_1_124	ribosomal protein lateral stalk subunit P1 pseudogene 3
ATP6V1G3	ATP6G3|Vma10	ATPase H+ transporting V1 subunit G3
ASB17	Asb-17	ankyrin repeat and SOCS box containing 17
TYW3	C1orf171	tRNA-yW synthesizing protein 3 homolog
ERICH3	C1orf173	glutamate rich 3
LRRIQ3	LRRC44	leucine rich repeats and IQ motif containing 3
TPRG1L	FAM79A|h-mover|mover	tumor protein p63 regulated 1 like
PRXL2B	C1orf93|FAM213B	peroxiredoxin like 2B
MYOM3	-	myomesin 3
RPL36P5	RPL36_1_21	ribosomal protein L36 pseudogene 5
DMBX1	MBX|OTX3|PAXB	diencephalon/mesencephalon homeobox 1
OR10J5	OR1-28	olfactory receptor family 10 subfamily J member 5
TMCO2	dJ39G22.2	transmembrane and coiled-coil domains 2
ZNF684	-	zinc finger protein 684
RPSAP20	RPSA_1_53	ribosomal protein SA pseudogene 20
TCEANC2	C1orf83	transcription elongation factor A N-terminal and central domain containing 2
PODN	PCAN|SLRR5A	podocan
S100A7P1	S100A7L3|s100a7d	S100 calcium binding protein A7 pseudogene 1
LRRC39	-	leucine rich repeat containing 39
GJB4	CX30.3|EKV|EKVP2	gap junction protein beta 4
HMGB4	dJ1007G16.5	high mobility group box 4
RNF19B	IBRDC3|NKLAM	ring finger protein 19B
RPL18AP4	RPL18A_2_30	ribosomal protein L18a pseudogene 4
A3GALT2	A3GALT2P|IGB3S|IGBS3S	alpha 1,3-galactosyltransferase 2
DCST2	-	DC-STAMP domain containing 2
DNAH14	C1orf67|Dnahc14|HL-18|HL18	dynein axonemal heavy chain 14
OR2AJ1	OR2AJ1P|OR2AJ1Q	olfactory receptor family 2 subfamily AJ member 1
OR14L1P	OR1-35|OR1-36|OR5AV1|OR5AV1P	olfactory receptor family 14 subfamily L member 1 pseudogene
OR2B11	-	olfactory receptor family 2 subfamily B member 11
ZNF648	-	zinc finger protein 648
TEDDM1	EDDM9|Epdd1|HE9|HEL-S-45e|TMEM45C	transmembrane epididymal protein 1
TEDDM2P	TEDDM1P1	transmembrane epididymal protein 2, pseudogene
C1orf122	ALAESM	chromosome 1 open reading frame 122
OSCP1	C1orf102|NOR1	organic solute carrier partner 1
C1orf216	-	chromosome 1 open reading frame 216
KLHDC7A	-	kelch domain containing 7A
VWA5B1	-	von Willebrand factor A domain containing 5B1
UBXN10	UBXD3	UBX domain protein 10
C1orf87	CREF	chromosome 1 open reading frame 87
ARL8A	ARL10B|GIE2	ADP ribosylation factor like GTPase 8A
SYT2	CMS7|MYSPC|SytII	synaptotagmin 2
LINC00628	-	long intergenic non-protein coding RNA 628
GOLT1A	CGI-141|GOT1|HMFN1187|YMR292W|hGOT1b	golgi transport 1A
UHMK1	KIS|KIST|P-CIP2	U2AF homology motif kinase 1
FCRLB	FCRL2|FCRLM2|FCRLY|FREB-2|FREB2|FcRY	Fc receptor like B
WDR64	-	WD repeat domain 64
C1orf131	-	chromosome 1 open reading frame 131
LIX1L	-	limb and CNS expressed 1 like
HSD3BP4	-	hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 4
LOC128136	-	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble) pseudogene
SPATA17	IQCH|MSRG-11|MSRG11	spermatogenesis associated 17
EDARADD	ECTD11A|ECTD11B|ED3|EDA3	EDAR associated death domain
PPIAP35	-	peptidylprolyl isomerase A pseudogene 35
KLF17	ZNF393|Zfp393	Kruppel like factor 17
TMEM125	-	transmembrane protein 125
TSACC	C1orf182|SIP|SSTK-IP	TSSK6 activating cochaperone
IQGAP3	-	IQ motif containing GTPase activating protein 3
NAXE	AIBP|APOA1BP|PEBEL|YJEFN1	NAD(P)HX epimerase
ARHGEF19	WGEF	Rho guanine nucleotide exchange factor 19
MRPL55	AAVG5835|L55nt|MRP-L55|PRO19675	mitochondrial ribosomal protein L55
HIST3H2BB	H2Bb	histone cluster 3 H2B family member b
NUTF2P4	-	nuclear transport factor 2 pseudogene 4
DRAM2	CORD21|PRO180|TMEM77|WWFQ154	DNA damage regulated autophagy modulator 2
PIFO	C1orf88|pitchfork	primary cilia formation
C1orf162	-	chromosome 1 open reading frame 162
OR10T2	OR1-3	olfactory receptor family 10 subfamily T member 2
OR6P1	-	olfactory receptor family 6 subfamily P member 1
OR10X1	OR1-13|OR1-14|OR10X1P	olfactory receptor family 10 subfamily X member 1 (gene/pseudogene)
OR10Z1	OR1-15	olfactory receptor family 10 subfamily Z member 1
OR6K4P	-	olfactory receptor family 6 subfamily K member 4 pseudogene
OR6K6	OR1-21	olfactory receptor family 6 subfamily K member 6
OR6N1	OR1-22	olfactory receptor family 6 subfamily N member 1
TATDN3	-	TatD DNase domain containing 3
BHLHE23	BETA4|BHLHB4|Beta3b|bA305P22.3	basic helix-loop-helix family member e23
NKAIN4	C20orf58|FAM77A|bA261N11.2	sodium/potassium transporting ATPase interacting 4
VSTM2L	C20orf102|dJ1118M15.2	V-set and transmembrane domain containing 2 like
SNHG11	C20orf198|LINC00101|NCRNA00101	small nucleolar RNA host gene 11
RPL12P11	RPL12L2|RPL12_22_1703|dJ661I20.1	ribosomal protein L12 pseudogene 11
RPL27AP	dJ1028D15.2	ribosomal protein L27a pseudogene
FITM2	C20orf142|Fit2|dJ881L22.2	fat storage inducing transmembrane protein 2
WFDC12	C20orf122|SWAM2|WAP2|dJ211D12.4	WAP four-disulfide core domain 12
SPATA25	C20orf165|TSG23|dJ337O18.8	spermatogenesis associated 25
RPL13P2	RPL13P3|RPL13_7_1707|dJ599F21.2	ribosomal protein L13 pseudogene 2
OCSTAMP	C20orf123|OC-STAMP|dJ257E24.3	osteoclast stimulatory transmembrane protein
TSHZ2	C20orf17|OVC10-2|TSH2|ZABC2|ZNF218	teashirt zinc finger homeobox 2
RPS4XP3	RPS4L|RPS4P3|dJ843L14.2	ribosomal protein S4X pseudogene 3
C20orf85	LLC1|bA196N14.1	chromosome 20 open reading frame 85
MRPS16P2	MRPS16P|bA379F14.1	mitochondrial ribosomal protein S16 pseudogene 2
ZNF831	C20orf174	zinc finger protein 831
PIEZO1P1	C20orf83|FAM38CP|bA164D18.1	piezo type mechanosensitive ion channel component 1 pseudogene 1
TBC1D20	C20orf140|WARBM4	TBC1 domain family member 20
SIRPD	PTPNS1L2|dJ576H24.4	signal regulatory protein delta
C20orf141	dJ860F19.4	chromosome 20 open reading frame 141
RPL7AP12	RPL7AL2|dJ189G13.1	ribosomal protein L7a pseudogene 12
PROKR2	GPR73L1|GPR73b|GPRg2|HH3|KAL3|PKR2|dJ680N4.3	prokineticin receptor 2
RPS18P1	RPS18_9_1682|dJ1022P6.1	ribosomal protein S18 pseudogene 1
RPL23AP6	RPL23A_36_1683|dJ1068F16.1	ribosomal protein L23a pseudogene 6
SLX4IP	C20orf94|bA204H22.1|bA254M13.1|dJ1099D15.3	SLX4 interacting protein
RPS11P1	RPS11_3_1684|dJ1060K6.1	ribosomal protein S11 pseudogene 1
RPLP0P1	dJ777L9.2	ribosomal protein lateral stalk subunit P0 pseudogene 1
RPL7AP13	RPL7AL3|dJ348M17.1	ribosomal protein L7a pseudogene 13
RPL15P1	RPL15_9_1687|dJ726N1.3	ribosomal protein L15 pseudogene 1
RPL21P3	bA189K21.4	ribosomal protein L21 pseudogene 3
EIF4E2P1	EIF4EL4|dJ1049G11.3	eukaryotic translation initiation factor 4E family member 2 pseudogene 1
MRPS11P1	dJ746H2.1	mitochondrial ribosomal protein S11 pseudogene 1
SLC25A6P1	SLC25A5L|dJ1065O2.2	solute carrier family 25 member 6 pseudogene 1
CSTL1	CTES1|RCET11|dJ322G13.4	cystatin like 1
CST9LP1	CTES7C	cystatin 9-like pseudogene 1
CST9L	CTES7B|bA218C14.1	cystatin 9 like
CST9	CLM|CTES7A	cystatin 9
MIR1-1HG	C20orf166|MIR133A2HG	MIR1-1 host gene
DKKL1P1	DKKL2|dJ854E16.1	dickkopf-like 1 pseudogene 1
DUSP15	C20orf57|VHY	dual specificity phosphatase 15
TSPY26P	TSPYL3|bA392M18.1	testis specific protein Y-linked 26, pseudogene
BPIFB6	BPIL3|LPLUNC6	BPI fold containing family B member 6
BPIFA3	C20orf71|SPLUNC3	BPI fold containing family A member 3
RPL12P3	RPL12_17_1694|bA49G10.7	ribosomal protein L12 pseudogene 3
C20orf144	dJ63M2.6	chromosome 20 open reading frame 144
CHMP4B	C20orf178|CHMP4A|CTPP3|CTRCT31|SNF7|SNF7-2|Shax1|VPS32B|Vps32-2|dJ553F4.4	charged multivesicular body protein 4B
PIGU	CDC91L1|GAB1	phosphatidylinositol glycan anchor biosynthesis class U
HMGB3P1	HMG4L|HMGB3L1|dJ18C9.3	high mobility group box 3 pseudogene 1
FAM83C	C20orf128|dJ614O4.7	family with sequence similarity 83 member C
HMGB3P2	HMG4L2|HMGB3L2|dJ550H1.1	high mobility group box 3 pseudogene 2
GAB4	-	GRB2 associated binding protein family member 4
C22orf39	-	chromosome 22 open reading frame 39
TANGO2	C22orf25|MECRCN	transport and golgi organization 2 homolog
SLC9A3P2	-	solute carrier family 9 member 3 pseudogene 2
ZNF280A	3'OY11.1|SUHW1|ZNF280|ZNF636	zinc finger protein 280A
LOC129026	-	gamma-glutamyltransferase-like activity 1 pseudogene
SGSM1	RUTBC2	small G protein signaling modulator 1
EMID1	EMI5|EMU1	EMI domain containing 1
CPSF1P1	dJ90G24.5	cleavage and polyadenylation specific factor 1 pseudogene 1
ANKRD54	LIAR	ankyrin repeat domain 54
PPP1R21	CCDC128|KLRAQ1	protein phosphatase 1 regulatory subunit 21
TRABD2A	C2orf89|TIKI1	TraB domain containing 2A
TMEM150A	TM6P1|TMEM150|TTN1	transmembrane protein 150A
NUP35	MP-44|MP44|NP44|NUP53	nucleoporin 35
LIN28AP1	-	LIN28A pseudogene 1
XIRP2	CMYA3	xin actin binding repeat containing 2
TYW5	C2orf60|hTYW5	tRNA-yW synthesizing protein 5
NMS	-	neuromedin S
LOC129522	-	ralA binding protein 1 pseudogene
LYG1	SALW1939	lysozyme g1
MITD1	-	microtubule interacting and trafficking domain containing 1
AHCYP4	-	adenosylhomocysteinase pseudogene 4
DIS3L2	FAM6A|PRLMNS|hDIS3L2	DIS3 like 3'-5' exoribonuclease 2
CMPK2	NDK|TMPK2|TYKi|UMP-CMPK2	cytidine/uridine monophosphate kinase 2
MBOAT2	LPAAT|LPCAT4|LPEAT|LPLAT 2|OACT2	membrane bound O-acyltransferase domain containing 2
LOC129656	-	CREB regulated transcription coactivator 1 pseudogene
CNTNAP5	caspr5	contactin associated protein like 5
TAF8	II|TAF|TAF(II)43|TAFII-43|TAFII43|TBN	TATA-box binding protein associated factor 8
TMEM18	lncND	transmembrane protein 18
FBLN7	TM14	fibulin 7
NEU4	-	neuraminidase 4
RBM45	DRB1|RB-1	RNA binding motif protein 45
RPSAP25	RPSA_7_299	ribosomal protein SA pseudogene 25
C2orf73	-	chromosome 2 open reading frame 73
TRIM43	TRIM43A	tripartite motif containing 43
UBTFL3	UBTFL5	UBTF like 3 (pseudogene)
BBS5	-	Bardet-Biedl syndrome 5
CCDC173	C2orf77	coiled-coil domain containing 173
ACMSD	-	aminocarboxymuconate semialdehyde decarboxylase
ICA1L	ALS2CR14|ALS2CR15	islet cell autoantigen 1 like
FAM168B	MANI	family with sequence similarity 168 member B
OR9A4	-	olfactory receptor family 9 subfamily A member 4
CIB4	KIP4	calcium and integrin binding family member 4
REG3G	LPPM429|PAP IB|PAP-1B|PAP1B|PAPIB|REG III|REG-III|UNQ429	regenerating family member 3 gamma
RFTN2	C2orf11|Raftlin-2	raftlin family member 2
CLHC1	C2orf63	clathrin heavy chain linker domain containing 1
HSPA8P6	-	heat shock protein family A (Hsp70) member 8 pseudogene 6
PLEKHH2	PLEKHH1L	pleckstrin homology, MyTH4 and FERM domain containing H2
AP1S3	PSORS15	adaptor related protein complex 1 subunit sigma 3
C2orf76	AIM29	chromosome 2 open reading frame 76
SGPP2	SPP2|SPPase2	sphingosine-1-phosphate phosphatase 2
ACVR1C	ACVRLK7|ALK7	activin A receptor type 1C
RPSAP27	RPSA_8_320	ribosomal protein SA pseudogene 27
OSR1	ODD	odd-skipped related transcription factor 1
CISD1P1	CISD1B|ZCD1B	CDGSH iron sulfur domain 1 pseudogene 1
TTC32	-	tetratricopeptide repeat domain 32
UBR3	ZNF650	ubiquitin protein ligase E3 component n-recognin 3
KCTD18	6530404F10Rik	potassium channel tetramerization domain containing 18
ALS2CR12	-	amyotrophic lateral sclerosis 2 chromosome region 12
ZNF513	HMFT0656|RP58	zinc finger protein 513
SPATA3	TSARG1	spermatogenesis associated 3
LYPD6	-	LY6/PLAUR domain containing 6
LYPD6B	CT116|LYPD7	LY6/PLAUR domain containing 6B
GALM	BLOCK25|GLAT|HEL-S-63p|IBD1	galactose mutarotase
TMEM198	TMEM198A	transmembrane protein 198
ZFAND2B	AIRAPL	zinc finger AN1-type containing 2B
RPLP1P5	RPLP1_1_196	ribosomal protein lateral stalk subunit P1 pseudogene 5
PSMB3P2	-	proteasome subunit beta 3 pseudogene 2
RPL7P13	RPL7_4_218	ribosomal protein L7 pseudogene 13
TMEM178A	TMEM178	transmembrane protein 178A
CPO	-	carboxypeptidase O
MDH1B	RP11-95H11	malate dehydrogenase 1B
RPL23AP37	RPL23A_5_234	ribosomal protein L23a pseudogene 37
DNMT3AP1	-	DNA methyltransferase 3A pseudogene 1
C2orf50	-	chromosome 2 open reading frame 50
PQLC3	C2orf22|SLC66A3	PQ loop repeat containing 3
TMEM182	-	transmembrane protein 182
RPL26P13	RPL26_6_221	ribosomal protein L26 pseudogene 13
